Date / Time,CPU Usage %,Temperature C
2017-05-07 15:05:03,46.3,79.5
2017-05-07 15:05:08,42,79.5
2017-05-07 15:05:13,46.7,79.5
2017-05-07 15:05:18,44.3,78.4
2017-05-07 15:05:24,43.8,79.5
2017-05-07 15:05:29,46.4,78.4
2017-05-07 15:05:34,46.2,79
2017-05-07 15:05:40,47.3,79.5
2017-05-07 15:05:45,42.6,79
2017-05-07 15:05:50,45.6,79.5
2017-05-07 15:05:56,43.9,79
2017-05-07 15:06:01,46,79.5
2017-05-07 15:06:07,45.4,79.5
2017-05-07 15:06:12,45.6,79.5
2017-05-07 15:06:17,46.4,78.4
2017-05-07 15:06:23,45.3,79.5
2017-05-07 15:06:28,48,79
2017-05-07 15:06:33,45.7,79
2017-05-07 15:06:39,42.8,78.4
2017-05-07 15:06:44,45.1,79.5
2017-05-07 15:06:50,45.4,79.5
2017-05-07 15:06:55,41.3,79.5
2017-05-07 15:07:00,47.4,79.5
2017-05-07 15:07:06,45.6,79.5
2017-05-07 15:07:11,45,79
2017-05-07 15:07:16,46.1,79.5
2017-05-07 15:07:22,47,79.5
2017-05-07 15:07:27,49.9,79.5
2017-05-07 15:07:32,46.8,79.5
2017-05-07 15:07:37,46,79.5
2017-05-07 15:07:43,43,79.5
2017-05-07 15:07:48,43.3,79.5
2017-05-07 15:07:54,48.7,79.5
2017-05-07 15:07:59,42.5,79.5
2017-05-07 15:08:05,48.6,79
2017-05-07 15:08:10,44.7,79
2017-05-07 15:08:16,46.7,79
2017-05-07 15:08:21,46.5,79
2017-05-07 15:08:27,48.6,80.1
2017-05-07 15:08:32,44.8,79.5
2017-05-07 15:08:38,37.8,79.5
2017-05-07 15:08:43,46.5,78.4
2017-05-07 15:08:48,45.9,80.1
2017-05-07 15:08:54,46.6,79.5
2017-05-07 15:08:59,41.4,78.4
2017-05-07 15:09:04,47.8,79.5
2017-05-07 15:09:10,47.5,79.5
2017-05-07 15:09:16,49.9,79.5
2017-05-07 15:09:21,45,79
2017-05-07 15:09:26,48.9,80.1
2017-05-07 15:09:31,42.8,79.5
2017-05-07 15:09:37,47,79.5
2017-05-07 15:09:42,46.6,79.5
2017-05-07 15:09:47,45.7,79.5
2017-05-07 15:09:53,47.6,79.5
2017-05-07 15:09:58,47,79.5
2017-05-07 15:10:03,46.6,79.5
2017-05-07 15:10:09,44.9,79.5
2017-05-07 15:10:14,48.7,79.5
2017-05-07 15:10:20,45.6,80.6
2017-05-07 15:10:25,45.9,80.1
2017-05-07 15:10:31,44.7,79.5
2017-05-07 15:10:36,40.2,79.5
2017-05-07 15:10:42,46.6,79.5
2017-05-07 15:10:47,45.4,79.5
2017-05-07 15:10:52,47.3,79.5
2017-05-07 15:10:58,44.3,79.5
2017-05-07 15:11:03,50.6,80.1
2017-05-07 15:11:08,43.2,79.5
2017-05-07 15:11:14,61.6,80.6
2017-05-07 15:11:19,46.8,80.6
2017-05-07 15:11:25,45.5,80.1
2017-05-07 15:11:30,45.1,79.5
2017-05-07 15:11:35,47.4,78.4
2017-05-07 15:11:41,49,80.6
2017-05-07 15:11:46,43.6,80.6
2017-05-07 15:11:52,49.4,80.6
2017-05-07 15:11:57,45.6,80.1
2017-05-07 15:12:03,45.7,80.6
2017-05-07 15:12:08,43.1,79.5
2017-05-07 15:12:14,46.3,80.6
2017-05-07 15:12:19,46.3,80.1
2017-05-07 15:12:25,46.4,79.5
2017-05-07 15:12:31,47.5,79.5
2017-05-07 15:12:36,42.2,79.5
2017-05-07 15:12:42,46.3,80.1
2017-05-07 15:12:47,51.6,80.1
2017-05-07 15:12:53,48.5,80.1
2017-05-07 15:12:59,43.8,80.1
2017-05-07 15:13:04,48.4,80.6
2017-05-07 15:13:10,44.5,80.1
2017-05-07 15:13:15,48.3,80.1
2017-05-07 15:13:21,48.4,80.1
2017-05-07 15:13:26,65.7,81.7
2017-05-07 15:13:32,56.1,81.1
2017-05-07 15:13:37,49.1,80.6
2017-05-07 15:13:43,45.8,80.6
2017-05-07 15:13:48,46.8,80.6
2017-05-07 15:13:53,49.5,80.1
2017-05-07 15:13:59,42.7,80.6
2017-05-07 15:14:04,47.1,80.1
2017-05-07 15:14:10,44.1,80.1
2017-05-07 15:14:15,47.2,80.6
2017-05-07 15:14:21,45.3,80.1
2017-05-07 15:14:26,47.8,81.1
2017-05-07 15:14:31,44.4,80.1
2017-05-07 15:14:37,40.9,80.1
2017-05-07 15:14:42,44.9,80.1
2017-05-07 15:14:48,43.3,79.5
2017-05-07 15:14:53,49.3,80.1
2017-05-07 15:14:58,44,80.6
2017-05-07 15:15:04,47.6,80.6
2017-05-07 15:15:10,43.4,79.5
2017-05-07 15:15:15,50.8,80.6
2017-05-07 15:15:21,46.1,80.1
2017-05-07 15:15:26,51.1,80.6
2017-05-07 15:15:32,45,80.1
2017-05-07 15:15:37,46.7,80.6
2017-05-07 15:15:43,49,80.6
2017-05-07 15:15:48,44.5,80.1
2017-05-07 15:15:54,47.9,80.6
2017-05-07 15:15:59,48.4,80.6
2017-05-07 15:16:05,49.4,80.6
2017-05-07 15:16:10,45.3,80.6
2017-05-07 15:16:16,50.5,81.1
2017-05-07 15:16:21,44.7,80.6
2017-05-07 15:16:27,48,80.6
2017-05-07 15:16:32,43,80.1
2017-05-07 15:16:38,41.1,80.1
2017-05-07 15:16:43,45.7,80.1
2017-05-07 15:16:49,45.8,80.6
2017-05-07 15:16:54,46,79.5
2017-05-07 15:17:00,44.8,80.1
2017-05-07 15:17:06,47.8,80.6
2017-05-07 15:17:11,44.7,80.1
2017-05-07 15:17:17,47.5,79.5
2017-05-07 15:17:22,44.5,80.1
2017-05-07 15:17:28,50.6,80.6
2017-05-07 15:17:33,44.6,80.6
2017-05-07 15:17:39,50.5,80.6
2017-05-07 15:17:45,46,80.6
2017-05-07 15:17:50,47.3,80.6
2017-05-07 15:17:56,45.7,80.1
2017-05-07 15:18:01,46.2,80.6
2017-05-07 15:18:07,45.4,80.6
2017-05-07 15:18:12,41.4,79.5
2017-05-07 15:18:18,46,80.1
2017-05-07 15:18:23,47.5,80.1
2017-05-07 15:18:29,46.9,80.1
2017-05-07 15:18:34,41.6,80.1
2017-05-07 15:18:40,44.7,80.6
2017-05-07 15:18:45,41.4,80.1
2017-05-07 15:18:51,46.4,80.6
2017-05-07 15:18:56,42.9,80.1
2017-05-07 15:19:02,47,80.6
2017-05-07 15:19:07,44.4,80.6
2017-05-07 15:19:13,43.6,79.5
2017-05-07 15:19:18,46.5,80.1
2017-05-07 15:19:24,46.7,79.5
2017-05-07 15:19:30,46.9,80.1
2017-05-07 15:19:36,48.4,80.6
2017-05-07 15:19:41,52.7,80.1
2017-05-07 15:19:46,17.5,75.2
2017-05-07 15:19:52,4.5,73.1
2017-05-07 15:19:57,1.3,71.4
2017-05-07 15:20:04,30.3,72.5
2017-05-07 15:20:09,0.9,69.8
2017-05-07 15:20:15,3.8,69.3
2017-05-07 15:20:20,0.7,68.8
2017-05-07 15:20:25,6.3,68.8
2017-05-07 15:20:30,1.7,67.7
2017-05-07 15:20:36,1.2,66.6
2017-05-07 15:20:41,3.8,66.6
2017-05-07 15:20:47,2.8,65.5
2017-05-07 15:20:52,3.7,66.6
2017-05-07 15:20:57,1.1,65.5
2017-05-07 15:21:03,6.8,66.1
2017-05-07 15:21:08,1,64.5
2017-05-07 15:21:14,4.1,65.5
2017-05-07 15:21:19,2.2,64.5
2017-05-07 15:21:24,3.3,65
2017-05-07 15:21:30,1.9,63.9
2017-05-07 15:21:35,0.9,63.4
2017-05-07 15:21:40,5.7,63.4
2017-05-07 15:21:46,1.2,63.4
2017-05-07 15:21:51,6.5,63.4
2017-05-07 15:21:56,0.8,62.8
2017-05-07 15:22:02,4.3,63.9
2017-05-07 15:22:07,0.9,62.8
2017-05-07 15:22:13,3.2,63.4
2017-05-07 15:22:18,1.3,62.3
2017-05-07 15:22:24,2.4,62.3
2017-05-07 15:22:29,5.8,62.3
2017-05-07 15:22:35,0.8,61.8
2017-05-07 15:22:40,3.8,62.3
2017-05-07 15:22:46,1.2,61.2
2017-05-07 15:22:51,4,62.3
2017-05-07 15:22:56,25.4,65.5
2017-05-07 15:23:02,35.7,66.6
2017-05-07 15:23:07,8.1,65
2017-05-07 15:23:13,43.6,68.8
2017-05-07 15:23:18,73.6,72
2017-05-07 15:23:23,58.6,72
2017-05-07 15:23:29,31,70.9
2017-05-07 15:23:34,50.8,72
2017-05-07 15:23:39,84.8,74.7
2017-05-07 15:23:45,63.4,74.1
2017-05-07 15:23:50,77.3,76.3
2017-05-07 15:23:55,76.6,77.4
2017-05-07 15:24:01,63.1,76.3
2017-05-07 15:24:06,50,75.8
2017-05-07 15:24:12,53.1,76.3
2017-05-07 15:24:23,54.8,76.8
2017-05-07 15:24:29,58.9,76.3
2017-05-07 15:24:34,45.8,75.2
2017-05-07 15:24:40,49.8,75.8
2017-05-07 15:24:46,49.7,76.3
2017-05-07 15:24:51,54.1,76.8
2017-05-07 15:24:57,49.6,76.3
2017-05-07 15:25:02,54.5,76.3
2017-05-07 15:25:08,54,76.8
2017-05-07 15:25:13,60.1,77.4
2017-05-07 15:25:18,48.6,77.4
2017-05-07 15:25:24,56.2,77.4
2017-05-07 15:25:29,50.8,77.4
2017-05-07 15:25:35,64.9,78.4
2017-05-07 15:25:40,60.9,78.4
2017-05-07 15:25:45,50.2,78.4
2017-05-07 15:25:51,54.1,78.4
2017-05-07 15:25:56,48.3,77.9
2017-05-07 15:26:02,55,77.9
2017-05-07 15:26:07,49.5,77.9
2017-05-07 15:26:12,57.5,78.4
2017-05-07 15:26:18,54.6,78.4
